AA,LCN
1,10006476
2,10008504
3,10020711
4,10021964
5,10022108
6,10022124
7,10038087
8,10038981
9,10039238
10,10043016
11,10044635
12,10048397
13,10048630
14,10048638
15,10048662
16,10048757
17,10051800
18,10052769
19,10054653
20,10054744
21,10054757
22,10054826
23,10054849
24,10054864
25,10054866
26,10054867
27,10054881
28,10054969
29,10055040
30,10055078
31,10058388
32,10061573
33,10062107
34,10062108
35,10063128
36,10063694
37,10063698
38,10063792
39,10063794
40,10065051
41,10067923
42,10068311
43,10068879
44,10069683
45,10069896
46,10069944
47,10070087
48,10070854
49,10070930
50,10070948
51,10071117
52,10071183
53,10071199
54,10071831
55,10072153
56,10072244
57,10072296
58,10072368
59,10072502
60,10072828
61,10073889
62,10073896
63,10073967
64,10074046
